127.0.0.1 - - [24/May/2022:23:22:50 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/ HTTP/1.1" 200 8358
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/css/bootstrap.css HTTP/1.1" 200 198240
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/fonts/ionicons.css HTTP/1.1" 200 57148
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/plugin-frameworks/bootstrap.css HTTP/1.1" 200 191738
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /w3css/3/w3.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/css/hi.css HTTP/1.1" 200 5835
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/common/styles.css HTTP/1.1" 200 77811
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/new/bootstrap.css HTTP/1.1" 200 198240
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/new/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/login.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/plugin-frameworks/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/plugin-frameworks/bootstrap.js HTTP/1.1" 200 99753
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/new/hi.css HTTP/1.1" 200 5836
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/common/scripts.js HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/plugin-frameworks/tether.min.js HTTP/1.1" 200 24632
0:0:0:0:0:0:0:1 - - [24/May/2022:23:22:51 +0530] "GET /Medicine_Supply_Chain/icon_path HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/May/2022:23:23:30 +0530] "GET /Medicine_Supply_Chain/RegisterPage.jsp HTTP/1.1" 200 5458
0:0:0:0:0:0:0:1 - - [24/May/2022:23:23:35 +0530] "GET /Medicine_Supply_Chain/LoginPage.jsp HTTP/1.1" 200 8358
0:0:0:0:0:0:0:1 - - [24/May/2022:23:23:35 +0530] "GET /w3css/3/w3.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [24/May/2022:23:23:35 +0530] "GET /Medicine_Supply_Chain/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [24/May/2022:23:23:35 +0530] "GET /Medicine_Supply_Chain/login.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/May/2022:23:23:38 +0530] "GET /Medicine_Supply_Chain/RegisterPage.jsp HTTP/1.1" 200 5458
0:0:0:0:0:0:0:1 - - [24/May/2022:23:25:27 +0530] "GET /Medicine_Supply_Chain/LoginPage.jsp HTTP/1.1" 200 8358
0:0:0:0:0:0:0:1 - - [24/May/2022:23:25:27 +0530] "GET /w3css/3/w3.css HTTP/1.1" 404 1022
